	New York	New Jersey	New York City
4/1/1987	110.6292057	101.4772741	110.0965679
5/1/1987	111.0264547	101.7365571	110.4804499
6/1/1987	111.445557	102.0149161	110.8423967
7/1/1987	111.7994581	102.3235414	111.1778566
8/1/1987	112.2385107	102.6239363	111.4859967
9/1/1987	112.5933615	102.9208309	111.7678542
10/1/1987	112.9757124	103.2854488	112.0269357
11/1/1987	113.3877169	103.6271275	112.2650695
12/1/1987	113.8706596	103.8888307	112.4829086
1/1/1988	114.3789906	104.1485311	112.678752
2/1/1988	114.8896838	104.438751	112.8501572
3/1/1988	115.3059879	104.7575664	112.9916499
4/1/1988	115.6484494	105.0676794	113.1007161
5/1/1988	115.8997812	105.3628448	113.1795466
6/1/1988	116.0296439	105.624284	113.2373592
7/1/1988	116.1384556	105.8663947	113.2828722
8/1/1988	116.2404899	106.1131153	113.3250569
9/1/1988	116.3619135	106.3685358	113.3687796
10/1/1988	116.5133764	106.6407122	113.4150888
11/1/1988	116.7451032	106.8949627	113.4601042
12/1/1988	116.9157496	107.1262312	113.4999309
1/1/1989	117.1376484	107.3420013	113.5340028
2/1/1989	117.3238825	107.4855438	113.5602233
3/1/1989	117.3827138	107.4951458	113.5761339
4/1/1989	117.411009	107.4675039	113.5810113
5/1/1989	117.3704141	107.372814	113.5743917
6/1/1989	117.3001705	107.287017	113.558937
7/1/1989	117.1718156	107.2171296	113.5387938
8/1/1989	116.9740143	107.1556462	113.5186492
9/1/1989	116.8129577	107.1092774	113.5027636
10/1/1989	116.6581782	107.0090803	113.4916374
11/1/1989	116.5977743	106.9605622	113.4839211
12/1/1989	116.6195032	106.9538672	113.4711795
1/1/1990	116.6673991	106.9766457	113.4372104
2/1/1990	116.6860091	106.9465675	113.3650947
3/1/1990	116.6713426	106.817037	113.2425274
4/1/1990	116.5860728	106.5798496	113.0588282
5/1/1990	116.4221852	106.3760437	112.8061256
6/1/1990	116.1211958	106.1028347	112.4707002
7/1/1990	115.6692384	105.7364682	112.0443792
8/1/1990	115.0378719	105.2871992	111.5247264
9/1/1990	114.2865931	104.7817367	110.9121132
10/1/1990	113.3933616	104.1934848	110.2160714
11/1/1990	112.319184	103.628813	109.4565879
12/1/1990	111.1873038	103.1287656	108.6572217
1/1/1991	109.9461526	102.6083167	107.8441364
2/1/1991	108.7552901	102.1850731	107.049833
3/1/1991	107.675866	101.8850643	106.2950718
4/1/1991	106.7773422	101.6100028	105.591626
5/1/1991	106.0246816	101.3765923	104.9452664
6/1/1991	105.4136474	101.1862181	104.357221
7/1/1991	104.9439026	100.99689	103.8233131
8/1/1991	104.5144035	100.866852	103.3394823
9/1/1991	104.1066976	100.7378545	102.8985456
10/1/1991	103.6581772	100.5928678	102.490055
11/1/1991	103.1059095	100.4624401	102.1040931
12/1/1991	102.5395996	100.3525305	101.7354256
1/1/1992	101.9562927	100.2096849	101.3861498
2/1/1992	101.4842216	100.1198442	101.0603427
3/1/1992	101.1015406	100.0481039	100.765553
4/1/1992	100.7417754	99.95754714	100.507135
5/1/1992	100.4375112	99.90001778	100.289288
6/1/1992	100.1906168	99.92480557	100.1182788
7/1/1992	100	100	100
8/1/1992	99.94356329	100.0641051	99.93596919
9/1/1992	99.90652552	100.1517297	99.92832465
10/1/1992	99.93499587	100.3057057	99.97752603
11/1/1992	100.0358115	100.4589494	100.0815322
12/1/1992	100.1962899	100.6604607	100.2388886
1/1/1993	100.4572417	100.8931154	100.4436023
2/1/1993	100.7333012	101.0571942	100.6817681
3/1/1993	100.9762326	101.1606278	100.9416646
4/1/1993	101.1489855	101.3534381	101.2145518
5/1/1993	101.3158692	101.5459418	101.4925486
6/1/1993	101.4437915	101.7509619	101.7721939
7/1/1993	101.5441382	101.9367129	102.0519074
8/1/1993	101.6247619	102.1334836	102.3296962
9/1/1993	101.6667868	102.3461381	102.6059543
10/1/1993	101.760617	102.6060897	102.8846868
11/1/1993	101.9014447	102.8400413	103.1724173
12/1/1993	102.0929003	103.0657618	103.4735014
1/1/1994	102.3821393	103.2233445	103.7899755
2/1/1994	102.6576537	103.4345041	104.1214889
3/1/1994	102.9926119	103.7383277	104.4642916
4/1/1994	103.3722148	104.1312467	104.8112562
5/1/1994	103.7183806	104.4838804	105.1538434
6/1/1994	104.0507531	104.7956043	105.4870406
7/1/1994	104.3408458	105.0869946	105.809173
8/1/1994	104.6395757	105.3579291	106.1210951
9/1/1994	104.9563322	105.5955179	106.423595
10/1/1994	105.2473663	105.8503733	106.7187681
11/1/1994	105.6421354	106.1049733	107.004607
12/1/1994	105.8965452	106.2916339	107.277796
1/1/1995	106.1203937	106.479457	107.5334088
2/1/1995	106.2502984	106.6487594	107.7696698
3/1/1995	106.2904739	106.7492618	107.9854096
4/1/1995	106.3111336	106.7985488	108.185004
5/1/1995	106.3108495	106.8312001	108.3772771
6/1/1995	106.3401135	106.8977892	108.5675917
7/1/1995	106.4087932	106.9920601	108.7604372
8/1/1995	106.4626792	107.1740537	108.9595249
9/1/1995	106.5315957	107.3544159	109.1669534
10/1/1995	106.5810326	107.4748637	109.3837245
11/1/1995	106.5566021	107.5559162	109.613781
12/1/1995	106.6433718	107.655645	109.8598976
1/1/1996	106.6015334	107.8006059	110.124581
2/1/1996	106.6760237	107.9731772	110.408905
3/1/1996	106.7769961	108.1577071	110.7139343
4/1/1996	106.9565189	108.3807067	111.0400825
5/1/1996	107.2265294	108.7203429	111.3868284
6/1/1996	107.570482	109.0195939	111.7517208
7/1/1996	107.917043	109.2904478	112.134845
8/1/1996	108.2316334	109.5410997	112.5393639
9/1/1996	108.5340868	109.7873006	112.9642623
10/1/1996	108.7689077	109.9931142	113.4059009
11/1/1996	108.9713646	110.2678485	113.8580454
12/1/1996	109.1570009	110.5895477	114.316794
1/1/1997	109.3936859	110.9555063	114.7842923
